	ภาค	จังหวัด	2547	2549	2550	2552	2554	2556	2558	2560	2562	2564	2566
001	ทั่วราชอาณาจักร	ทั่วราชอาณาจักร	14,963.40	17,787.00	18,660.00	20,903.00	23,236.00	25,194.00	26,915.00	26,946.43	26,018.42	27,352.00	29,030.24
002	กรุงเทพมหานคร และ 3 จังหวัด	กรุงเทพมหานคร และ 3 จังหวัด	28,135.36	33,088.00	35,007.00	37,732.00	41,631.00	43,058.00	41,002.00	41,897.06	37,750.96	39,047.00	39,087.00
003		กรุงเทพมหานคร	29,842.68	36,658.00	39,020.00	42,379.83	48,951.00	49,190.80	45,571.70	45,707.31	39,459.36	40,200.77	40,051.00
004		สมุทรปราการ	19,946.54	20,382.00	21,302.00	23,359.38	23,797.90	29,575.30	25,457.20	28,711.77	24,729.42	32,913.65	32,263.00
005		นนทบุรี	26,657.97	31,152.00	32,743.00	34,626.28	35,119.70	30,663.60	36,884.00	40,860.88	37,502.22	41,129.42	36,767.00
006		ปทุมธานี	21,529.67	25,143.00	26,107.00	26,686.22	21,615.50	33,461.30	41,056.90	41,483.71	46,977.74	39,506.99	45,729.00
007	ภาคกลาง	ภาคกลาง	16,354.53	19,279.00	18,932.00	20,952.00	20,822.00	26,114.00	26,601.00	27,041.89	25,781.96	28,166.00	30,200.00
008		พระนครศรีอยุธยา	14,979.78	19,676.00	21,676.00	25,819.98	22,301.70	26,481.50	28,379.40	28,777.58	30,589.95	31,416.10	33,919.00
009		อ่างทอง	12,854.76	18,300.00	17,704.00	25,506.42	21,139.90	28,641.30	23,350.60	26,484.17	25,821.05	24,509.73	27,923.00
010		ลพบุรี	15,003.26	19,935.00	16,852.00	22,404.50	17,177.70	23,425.50	22,955.10	19,795.67	20,784.92	26,676.28	25,918.00
011		สิงห์บุรี	14,787.81	18,510.00	20,558.00	25,419.17	26,067.70	28,115.40	26,112.20	26,865.56	24,681.50	26,597.88	30,869.00
012		ชัยนาท	13,383.26	13,058.00	13,995.00	18,719.17	20,180.60	32,753.50	22,058.90	26,385.66	23,203.61	23,326.07	27,543.00
013		สระบุรี	18,742.17	20,468.00	22,363.00	21,947.41	27,114.10	32,833.60	29,413.40	35,378.49	30,532.34	33,660.05	33,894.00
014		ชลบุรี	22,286.23	21,869.00	22,260.00	24,052.20	23,007.20	28,366.50	27,256.70	27,665.39	28,705.91	32,355.77	35,981.00
015		ระยอง	18,961.99	20,018.00	25,090.00	22,982.83	21,929.00	30,400.80	30,314.80	27,797.79	24,299.10	28,142.07	33,226.00
016		จันทบุรี	15,896.75	20,606.00	18,866.00	19,441.86	24,277.60	27,283.50	36,023.50	32,893.60	28,113.74	30,877.60	43,857.00
017		ตราด	14,080.46	19,230.00	16,664.00	16,948.60	28,118.20	21,652.80	25,332.90	27,796.68	24,173.78	29,917.26	31,521.00
018		ฉะเชิงเทรา	16,937.66	16,770.00	20,665.00	21,251.57	23,030.70	34,548.30	27,554.90	26,061.85	22,875.29	23,196.36	29,146.00
019		ปราจีนบุรี	15,031.78	16,031.00	18,263.00	22,548.12	25,338.10	21,038.90	24,165.60	22,952.89	25,843.22	27,232.59	23,883.00
020		นครนายก	13,096.37	14,104.00	15,983.00	17,503.14	17,042.40	23,390.60	23,555.00	25,119.93	25,784.78	29,546.89	24,993.00
021		สระแก้ว	10,777.21	11,577.00	13,593.00	15,525.44	17,781.10	24,805.20	26,953.40	22,115.02	20,685.40	20,709.22	21,211.00
