YEA_GOV,PROV,TAX_TYPE,FORM_CODE,AMT_RCV
2566,กระบี่,1,ทป3,30037597.26
2566,กระบี่,1,ป2,1015000
2566,กระบี่,1,ภงด1,106090177.8
2566,กระบี่,1,ภงด2,89390886.14
2566,กระบี่,1,ภงด3,80634820.85
2566,กระบี่,1,ภงด90,45562415.93
2566,กระบี่,1,ภงด91,18116209
2566,กระบี่,1,ภงด93,20383685.82
2566,กระบี่,1,ภงด94,8851815.07
2566,กระบี่,2,ทป3,4910200.44
2566,กระบี่,2,ป2,805300
2566,กระบี่,2,ภงด50,206186703.3
2566,กระบี่,2,ภงด51,179534583.4
2566,กระบี่,2,ภงด53,146473947
2566,กระบี่,2,ภงด54,15721276.36
2566,กระบี่,2,ภงด55,134053.42
2566,กระบี่,5,ทป3,17532030.87
2566,กระบี่,5,ป2,344900
2566,กระบี่,5,ภพ30,926934805.5
2566,กระบี่,5,ภพ36,17080049.7
2566,กระบี่,6,ทป3,6492.35
2566,กระบี่,6,ป2,13800
2566,กระบี่,6,ภธ40,28643739.01
2566,กระบี่,7,อส10,3586051.2
2566,กระบี่,7,อส10.1,17140
2566,กระบี่,7,อส4,5693641.4
2566,กระบี่,7,อส4ก,190570.4
2566,กระบี่,7,อส4ข,1704105
2566,กระบี่,7,อส9,793923
2566,กระบี่,9,รบ1,0.5
2566,กระบี่,10,รบ1,2
2566,กระบี่,11,ป2,564000
2566,กระบี่,15,รบ1,0.5
2566,กรุงเทพฯ,1,ทป3,4972451184
2566,กรุงเทพฯ,1,ป2,19990300
2566,กรุงเทพฯ,1,ภงด1,1.68943E+11
2566,กรุงเทพฯ,1,ภงด2,48941823085
2566,กรุงเทพฯ,1,ภงด3,12504467238
2566,กรุงเทพฯ,1,ภงด90,7101427409
2566,กรุงเทพฯ,1,ภงด91,5643712923
2566,กรุงเทพฯ,1,ภงด93,245133975.9
2566,กรุงเทพฯ,1,ภงด94,1400637856
2566,กรุงเทพฯ,2,ทป3,2315784405
2566,กรุงเทพฯ,2,ป2,84221000
2566,กรุงเทพฯ,2,ภงด50,1.40287E+11
2566,กรุงเทพฯ,2,ภงด51,1.38665E+11
