พื้นที่	ชาย	หญิง	รวม
กรุงเทพมหานคร	2,548,425	2,911,953	5,460,378
จังหวัดสมุทรปราการ	652,768	724,299	1,377,067
จังหวัดนนทบุรี	608,156	705,762	1,313,918
จังหวัดปทุมธานี	581,237	648,483	1,229,720
จังหวัดพระนครศรีอยุธยา	394,111	427,972	822,083
จังหวัดอ่างทอง	128,767	140,765	269,532
จังหวัดลพบุรี	361,298	366,001	727,299
จังหวัดสิงห์บุรี	95,179	105,176	200,355
จังหวัดชัยนาท	151,029	163,690	314,719
จังหวัดสระบุรี	312,614	325,780	638,394
จังหวัดชลบุรี	792,447	836,892	1,629,339
จังหวัดระยอง	381,248	396,832	778,080
จังหวัดจันทบุรี	261,490	274,661	536,151
จังหวัดตราด	111,866	114,643	226,509
จังหวัดฉะเชิงเทรา	358,111	374,112	732,223
จังหวัดปราจีนบุรี	246,885	253,336	500,221
จังหวัดนครนายก	128,472	131,395	259,867
จังหวัดสระแก้ว	280,744	281,537	562,281
จังหวัดนครราชสีมา	1,283,800	1,337,833	2,621,633
จังหวัดบุรีรัมย์	776,694	791,968	1,568,662
จังหวัดสุรินทร์	676,733	686,080	1,362,813
จังหวัดศรีสะเกษ	718,474	726,091	1,444,565
จังหวัดอุบลราชธานี	930,189	937,716	1,867,905
จังหวัดยโสธร	262,071	264,507	526,578
จังหวัดชัยภูมิ	546,262	562,315	1,108,577
จังหวัดอำนาจเจริญ	185,088	187,610	372,698
จังหวัดบึงกาฬ	209,854	209,498	419,352
จังหวัดหนองบัวลำภู	251,282	253,789	505,071
จังหวัดขอนแก่น	869,573	904,677	1,774,250
จังหวัดอุดรธานี	766,854	787,236	1,554,090
จังหวัดเลย	316,491	316,767	633,258
จังหวัดหนองคาย	253,613	258,799	512,412
จังหวัดมหาสารคาม	457,727	474,846	932,573
จังหวัดร้อยเอ็ด	631,773	646,948	1,278,721
จังหวัดกาฬสินธุ์	475,863	488,678	964,541
จังหวัดสกลนคร	565,456	574,125	1,139,581
จังหวัดนครพนม	354,317	357,680	711,997
จังหวัดมุกดาหาร	175,186	175,613	350,799
จังหวัดเชียงใหม่	865,132	932,106	1,797,238
จังหวัดลำพูน	190,152	207,260	397,412
จังหวัดลำปาง	343,074	363,648	706,722
จังหวัดอุตรดิตถ์	212,817	224,891	437,708
จังหวัดแพร่	203,271	220,160	423,431
จังหวัดน่าน	235,047	236,156	471,203
จังหวัดพะเยา	221,227	235,070	456,297
จังหวัดเชียงราย	628,835	668,460	1,297,295
จังหวัดแม่ฮ่องสอน	145,478	142,135	287,613
จังหวัดนครสวรรค์	494,772	522,334	1,017,106
จังหวัดอุทัยธานี	156,683	164,433	321,116
จังหวัดกำแพงเพชร	346,086	356,303	702,389
จังหวัดตาก	351,272	344,088	695,360
จังหวัดสุโขทัย	278,176	296,992	575,168
จังหวัดพิษณุโลก	410,113	429,924	840,037
จังหวัดพิจิตร	252,670	266,235	518,905
จังหวัดเพชรบูรณ์	473,554	489,673	963,227
จังหวัดราชบุรี	418,722	445,190	863,912
จังหวัดกาญจนบุรี	448,112	448,160	896,272
จังหวัดสุพรรณบุรี	396,516	427,169	823,685
จังหวัดนครปฐม	443,269	482,025	925,294
จังหวัดสมุทรสาคร	283,566	307,478	591,044
จังหวัดสมุทรสงคราม	89,297	97,996	187,293
จังหวัดเพชรบุรี	232,712	250,990	483,702
จังหวัดประจวบคีรีขันธ์	270,128	281,206	551,334
จังหวัดนครศรีธรรมราช	758,752	777,734	1,536,486
จังหวัดกระบี่	239,819	243,177	482,996
จังหวัดพังงา	133,177	133,589	266,766
จังหวัดภูเก็ต	201,107	226,496	427,603
จังหวัดสุราษฎร์ธานี	528,412	547,117	1,075,529
จังหวัดระนอง	97,056	95,969	193,025
จังหวัดชุมพร	250,582	257,865	508,447
จังหวัดสงขลา	696,269	735,182	1,431,451
จังหวัดสตูล	161,786	163,233	325,019
จังหวัดตรัง	310,535	325,345	635,880
จังหวัดพัทลุง	252,722	267,164	519,886
จังหวัดปัตตานี	365,939	373,461	739,400
จังหวัดยะลา	273,960	277,667	551,627
จังหวัดนราธิวาส	406,705	415,403	822,108
